iteration,loss
1,327902.0406533122
2,326116.0395872175
3,324326.31396842055
4,322533.171238551
5,320736.9108952397
6,318937.825123122
7,317136.20136185223
8,315332.3230554468
9,313526.46918745775
10,311718.9141310089
11,309909.927740822
12,308099.7755418255
13,306288.7189911667
14,304477.01582679956
15,302664.92051689763
16,300852.6848111507
17,299040.5583753383
18,297228.7894690986
19,295417.6256105451
20,293607.314165566
21,291798.1028059266
22,289990.2397981408
23,288183.97410919616
24,286379.5553393249
25,284577.2335097575
26,282777.2587459517
27,280979.880898512
28,279185.34914038505
29,277393.9115739361
30,275605.8148728936
31,273821.3039764341
32,272040.6218458231
33,270264.00928854226
34,268491.70484981965
35,266723.94476818264
36,264960.96298826515
37,263202.99122273154
38,261450.25905337397
39,259702.99406063912
40,257961.42196931478
41,256225.76679861164
42,254496.25100801402
43,252773.09563341187
44,251056.52040412152
45,249346.74383374176
46,247643.98328053232
47,245948.4549665633
48,244260.3739407562
49,242579.95401428375
50,240907.4076775761
51,239242.9460436287
52,237586.77870239646
53,235939.11350343874
54,234300.15638109235
55,232670.1111656966
56,231049.17938413733
57,229437.56005744738
58,227835.44950316762
59,226243.0411395368
60,224660.52529582288
61,223088.0890304291
62,221525.9159530105
63,219974.18605074787
64,218433.0755159306
65,216902.75657241265
66,215383.39729894348
67,213875.16144603855
68,212378.20824877164
69,210892.69223183597
70,209418.76300912158
71,207956.56507848794
72,206506.23761326674
73,205067.9142567623
74,203641.72292663276
75,202227.78558679824
76,200826.2180313927
77,199437.129713144
78,198060.6235658674
79,196696.7958324267
80,195345.73590987542
81,194007.5262065738
82,192682.24179463103
83,191369.95072951578
84,190070.71385654426
85,188784.58446587564
86,187511.6084215594
87,186251.82412378362
88,185005.26248859902
89,183771.94695235597
90,182551.89349627506
91,181345.11068893975
92,180151.59974596655
93,178971.3546061695
94,177804.36202359063
95,176650.6016744593
96,175510.0462786829
97,174382.66173466743
98,173268.40726693984
99,172167.2355853579
100,171079.09305521258
101,170003.9198769979
102,168941.65027486524
103,167892.21269246726
104,166855.52999485083
105,165831.51967014535
106,164820.0940149589
107,163821.1603359248
108,162834.6212942793
109,161860.37504425092
110,160898.31535763532
111,159948.33187725014
112,159010.31033140575
113,158084.13272702644
114,157169.67753472045
115,156266.8198314575
116,155375.43158627665
117,154495.38170327267
118,153626.5362203366
119,152768.75846433922
120,151921.9092039066
121,151085.84680504605
